customer_id,customer_name,email,registration_date,customer_type,invalid_email
105,Isaiah Avila,nwolf@example.com,2025-10-08,VIP,False
106,Dwayne Gilmore,omartinez@example.net,2026-04-20,REGULAR,False
107,Christopher Pierce,hdavis@example.com,2024-11-07,PREMIUM,False
108,Brittany Cantu,william46@example.com,2025-08-09,REGULAR,False
109,Juan Reyes,michellehill@example.com,2025-04-28,PREMIUM,False
110,Katie Hoover,jessica99@example.net,2025-08-23,PREMIUM,False
111,Jill Washington,andrea86@example.com,2026-08-02,REGULAR,False
112,Colin Terry,xhall@example.com,2024-09-10,VIP,False
113,John Mcintyre,qhughes@example.net,2024-12-04,PREMIUM,False
114,Andrew Shaw MD,sawyerscott@example.net,2026-07-16,REGULAR,False
115,Nathan Ortiz,charlesharrington@example.com,2025-04-27,REGULAR,False
116,Jennifer Miller,melissa86@example.com,2025-12-07,REGULAR,False
117,Olivia Brennan,williamsonjimmy@example.net,2026-07-24,PREMIUM,False
118,Darren Davis,hodgesjane@example.org,2025-07-18,REGULAR,False
119,Elijah Johnson,laura45@example.com,2025-07-08,VIP,False
120,Joseph Knight,georgemiller@example.com,2025-12-02,VIP,False
121,Kathleen Aguilar,stevenking@example.com,2026-01-07,REGULAR,False
122,Robert Santana,charleslandry@example.net,2025-03-28,REGULAR,False
123,Jessica Wright,james67@example.org,2025-02-08,PREMIUM,False
124,Ian Phillips,andrew64@example.org,2025-10-21,PREMIUM,False
125,Paula Beltran,swall@example.org,2025-11-22,REGULAR,False
126,Colleen Lee,erica21@example.net,2025-12-23,PREMIUM,False
127,Richard Johnson,jessica14@example.com,2026-03-11,PREMIUM,False
128,Curtis Buchanan,alyssa42@example.com,2026-07-18,VIP,False
129,Karen Drake,linda71@example.org,2026-03-16,VIP,False
130,Shannon Ramsey,zcoffey@example.net,2025-05-19,PREMIUM,False
131,James Baker,gibsonemily@example.net,2025-02-27,PREMIUM,False
132,Samantha Bentley,leonardthomas@example.net,2026-06-25,REGULAR,False
133,Erin Bishop,reidsteven@example.net,2025-03-30,VIP,False
134,Audrey Williams,torrestravis@example.org,2025-02-06,PREMIUM,False
135,Brandy Chavez,umatthews@example.org,2026-06-26,VIP,False
136,Brett Burns,rcrosby@example.org,2026-01-26,VIP,False
137,Jeremy Sampson,cory58@example.net,2025-05-13,VIP,False
138,Donald Donaldson,ndavis@example.net,2025-12-17,REGULAR,False
139,Alison Buchanan,vanessabuchanan@example.org,2024-09-30,REGULAR,False
140,Kristen Willis,markhernandez@example.net,2024-08-10,REGULAR,False
141,William Huerta,lauren10@example.org,2024-08-19,VIP,False
142,Richard Chapman,thompsonbrian@example.net,2025-06-30,VIP,False
143,Nichole Alvarez,william17@example.net,2025-01-27,REGULAR,False
144,Amanda Logan,stephen00@example.com,2026-05-28,VIP,False
145,Michael Henry,fjones@example.com,2025-11-23,PREMIUM,False
146,Cameron Weber,oscar98@example.com,2025-07-26,REGULAR,False
147,Jessica Mcguire,farrelldebra@example.net,2026-02-18,PREMIUM,False
148,Jessica Beasley,dmorgan@example.com,2025-06-27,PREMIUM,False
149,Emily Edwards,nicholas27@example.org,2024-10-17,VIP,False
150,Anna Davis,lisa80@example.net,2025-10-18,PREMIUM,False
151,Meagan Jenkins,uparrish@example.org,2025-03-19,REGULAR,False
152,Heather Lane,ericolsonexample.org,2025-05-06,VIP,True
153,Holly Farmer,lindsaybruce@example.net,2025-11-27,REGULAR,False
154,Kristin Lynch,anthony44@example.com,2025-05-07,REGULAR,False
155,Sergio Knight,vjones@example.net,2024-08-31,REGULAR,False
156,Joseph Bennett,xpeterson@example.com,2026-02-19,REGULAR,False
157,Todd Carlson,moorekaren@example.org,2026-01-13,PREMIUM,False
158,Jeremy Coleman,nperry@example.net,2024-11-04,PREMIUM,False
159,Brian Gregory,trose@example.org,2025-01-26,VIP,False
160,Kyle Smith,sierra24@example.com,2025-04-19,VIP,False
161,Jonathan Jordan,omarpadilla@example.net,2025-10-15,VIP,False
162,Renee Jones,grahamsteve@example.org,2026-06-08,PREMIUM,False
163,Jeffrey Sullivan,zroberts@example.org,2025-04-17,REGULAR,False
164,Travis Stevens,christopher13@example.com,2025-11-08,REGULAR,False
165,Blake Harrell,jeffrey21@example.net,2025-12-12,REGULAR,False
166,Jordan Bullock,michael23@example.org,2024-11-29,REGULAR,False
167,Christopher Hernandez,thompsonkendra@example.com,2025-08-03,VIP,False
168,Olivia Cole,michelle52@example.com,2024-09-30,PREMIUM,False
169,Mark Hogan,bellcharles@example.com,2025-07-25,VIP,False
170,Jacob Mitchell,gilbertwilliam@example.com,2025-11-01,VIP,False
171,Rebecca Huang,kstout@example.net,2025-01-01,REGULAR,False
172,John Hernandez,hayeslisa@example.com,2026-02-13,PREMIUM,False
173,Matthew Williams,hritter@example.net,2025-11-24,REGULAR,False
174,Jake Campbell,rschroederexample.net,2024-09-17,REGULAR,True
175,Maria Jones,grantpaul@example.com,2026-02-21,PREMIUM,False
176,Tracey Morrison,mathewaguilar@example.org,2026-07-21,PREMIUM,False
177,Walter Hale,tanderson@example.org,2025-04-05,PREMIUM,False
178,Maria Murphy,elizabethcalderon@example.net,2026-01-22,REGULAR,False
179,Anna Santiago,andrew42@example.org,2025-04-30,VIP,False
180,Katelyn Perez,ericphillips@example.org,2025-09-06,VIP,False
181,Sandy Stephenson,stanleynancy@example.net,2024-11-17,PREMIUM,False
182,Brittany White,jenniferwilliams@example.com,2026-01-15,REGULAR,False
183,Tracy Bishop,pyoung@example.com,2026-04-28,REGULAR,False
184,Stephanie Lee,smurray@example.com,2025-09-02,REGULAR,False
185,Tracy Montoya,moniquewilliams@example.com,2026-06-17,REGULAR,False
186,Timothy Dawson,mitchellkathryn@example.com,2025-07-22,VIP,False
187,Brittany Kim,lisawilkerson@example.org,2025-06-26,VIP,False
188,Jonathan Young,brooksanthony@example.org,2026-05-21,PREMIUM,False
189,Gabriela Thomas,mitchellmaria@example.net,2026-05-15,VIP,False
190,Michael West,bullockandrew@example.org,2026-05-18,REGULAR,False
191,Todd Lynch,srodriguez@example.org,2025-03-29,REGULAR,False
192,David Fowler,fbrown@example.net,2025-09-28,REGULAR,False
193,Jose Allen,kellysmith@example.com,2025-02-10,PREMIUM,False
194,Chelsea Barnett,carlos88@example.net,2026-04-10,PREMIUM,False
195,Kristen Myers DDS,qzavala@example.net,2024-08-20,VIP,False
196,Austin Allen,ingramjill@example.com,2024-11-19,PREMIUM,False
197,Joshua Li,mariacohen@example.net,2025-08-14,VIP,False
198,Robin Brown,mjohnson@example.org,2026-04-14,REGULAR,False
199,Andrew Mahoney,ihays@example.com,2025-02-20,REGULAR,False
200,Matthew Mitchell,glennmartin@example.org,2026-04-20,PREMIUM,False
201,Steve Paul,lmorgan@example.com,2026-01-27,REGULAR,False
202,Tim Stone PhD,mmiller@example.org,2025-10-05,VIP,False
203,Brian Murphy,kirk96@example.org,2026-01-25,PREMIUM,False
204,Jeremy Acosta,christina64@example.net,2026-04-14,REGULAR,False
205,Angela Walsh,william20@example.org,2026-05-29,PREMIUM,False
206,Rachael Johnson,youngdeanna@example.com,2025-06-01,VIP,False
207,Amanda Hernandez,xrush@example.com,2026-03-23,VIP,False
208,Chad Richardson,debra31@example.org,2026-03-02,REGULAR,False
209,Joseph Mcintyre,greenjorge@example.com,2025-01-21,PREMIUM,False
210,Donna Hendricks DDS,taylorcharles@example.org,2026-07-07,PREMIUM,False
211,Yolanda Cochran,elizabeth18@example.net,2025-03-21,VIP,False
212,Sarah Joseph,laurahicks@example.org,2025-01-11,VIP,False
213,Cynthia Snyder,angela57@example.net,2024-11-16,PREMIUM,False
214,Angelica Parker,xfox@example.com,2026-05-09,VIP,False
215,Beth Stewart,coleerin@example.com,2024-11-15,VIP,False
216,Penny Bowman,katrinaanderson@example.net,2026-07-16,REGULAR,False
217,Sandra Holmes,fred53@example.com,2026-08-08,REGULAR,False
218,Diane Miller,cynthiapierce@example.org,2025-12-06,VIP,False
219,Joseph Shaw,brittanycarpenter@example.org,2026-01-01,VIP,False
220,Stephanie Morgan,bryananthony@example.org,2025-12-19,REGULAR,False
221,Deborah Clark,bmontgomery@example.com,2026-06-29,REGULAR,False
222,Donna Frye,zsanchez@example.net,2025-06-19,PREMIUM,False
223,Benjamin Brown,dperry@example.org,2025-04-29,VIP,False
224,Emily Higgins,theresa25@example.net,2025-10-18,VIP,False
225,David Martinez,gwright@example.org,2025-03-21,VIP,False
226,Sharon Barnes,lisapeck@example.net,2025-04-07,PREMIUM,False
227,Christopher Ferrell,tjimenez@example.com,2024-08-26,VIP,False
228,James Bryant,jasongomez@example.org,2025-03-14,REGULAR,False
229,Stephen Pena MD,booneryan@example.com,2026-02-24,VIP,False
230,Jamie Williams,hudsonjames@example.net,2025-03-20,VIP,False
231,Jonathan Duran,marcia99@example.org,2024-11-15,REGULAR,False
232,Jennifer Norton,angela52@example.org,2025-11-18,PREMIUM,False
233,Kathryn Williams,jenniferbrock@example.net,2025-07-28,REGULAR,False
234,Steven Taylor,francisco94@example.net,2025-04-26,REGULAR,False
235,Katrina Burns,thomas05@example.com,2026-01-13,VIP,False
236,Jason Parker,carlsonjoseph@example.net,2026-04-08,PREMIUM,False
237,Laura Perez,silvageorge@example.net,2026-02-19,PREMIUM,False
238,Sarah Hernandez,anthonyvaughan@example.org,2025-01-03,VIP,False
239,Erik Hernandez,roberthampton@example.com,2026-06-16,VIP,False
240,Monica Thornton,annbolton@example.com,2025-09-20,REGULAR,False
241,Tyler Stevens,amy49@example.com,2025-01-04,VIP,False
242,Diana Evans,kellie37@example.com,2025-08-15,PREMIUM,False
243,Timothy Pope,keith98@example.com,2026-07-04,REGULAR,False
244,Sabrina Blevins,kellyroberts@example.net,2024-10-08,REGULAR,False
245,Jeremy Scott,ilewis@example.com,2026-08-02,REGULAR,False
246,Denise Rodriguez,johnsantiago@example.net,2025-01-30,REGULAR,False
247,Amy Gutierrez,xgarcia@example.org,2024-08-12,VIP,False
248,Vanessa Moore,mwoods@example.com,2025-04-14,REGULAR,False
249,Anthony Mack,amandasharp@example.org,2026-07-18,VIP,False
250,Jennifer Monroe,osbornrandy@example.com,2024-12-30,VIP,False
251,Tonya Howe,smithashley@example.org,2026-07-30,PREMIUM,False
252,Mrs. Virginia Daniels,ismall@example.net,2025-08-06,REGULAR,False
253,Robert Rivera,twong@example.org,2024-08-18,REGULAR,False
254,Rachel Bradley,gregorychase@example.com,2026-05-12,REGULAR,False
255,Garrett Morales,lopezdonald@example.com,2026-08-04,REGULAR,False
256,Dean Young,stephanie49@example.net,2025-10-26,VIP,False
257,Matthew Schwartz,contrerassteven@example.org,2025-06-18,REGULAR,False
258,Tammy Barron,hannah45@example.net,2025-01-26,REGULAR,False
259,Casey Hernandez,robert87@example.net,2026-04-22,PREMIUM,False
260,Colleen Wright,foxallison@example.com,2024-10-07,VIP,False
261,Ashley Poole,ashleyhernandez@example.com,2026-06-02,PREMIUM,False
262,Audrey Harris,gdavis@example.com,2026-04-28,VIP,False
263,Carlos Perry,hansenemily@example.com,2026-02-20,PREMIUM,False
264,David Smith,bethwilliams@example.com,2026-02-03,VIP,False
265,Zachary Michael,andersenthomas@example.com,2025-06-21,REGULAR,False
266,Chad May,ybrooks@example.com,2026-06-14,PREMIUM,False
267,Jamie Miller,desireebailey@example.org,2025-09-29,REGULAR,False
268,Cameron Irwin,avilatiffany@example.com,2026-01-13,PREMIUM,False
269,Jessica Gray,johnreed@example.com,2025-01-01,VIP,False
270,Molly Rodriguez,bmendez@example.org,2025-01-15,REGULAR,False
271,Kirk Griffin,sanchezbradley@example.com,2025-02-06,REGULAR,False
272,Nicole Parsons,williamroberts@example.net,2025-10-29,REGULAR,False
273,Kyle Chambers,joel28@example.org,2025-06-25,PREMIUM,False
274,Antonio Fry,conniesimmons@example.com,2024-09-13,REGULAR,False
275,Teresa Powers,heather62@example.com,2025-05-27,REGULAR,False
276,Joshua Allen,kevinzimmerman@example.com,2026-07-19,REGULAR,False
277,Jason Butler,paulscott@example.com,2025-12-23,REGULAR,False
278,Jerry Watson,brettbennett@example.net,2025-11-19,PREMIUM,False
279,Benjamin Ballard,timothybooth@example.com,2025-03-31,PREMIUM,False
280,Alexis Giles,burgesskaren@example.org,2026-01-30,PREMIUM,False
281,Christine Herman,kimberly67@example.net,2025-12-24,VIP,False
282,Dennis Hunt,zowens@example.net,2025-08-07,REGULAR,False
283,Erica Harris,robert93@example.net,2024-11-29,VIP,False
284,Juan Silva,mphillips@example.com,2025-02-02,REGULAR,False
285,Roy Porter,jonathan77@example.com,2024-12-16,PREMIUM,False
286,Heather Taylor,iwhite@example.net,2024-09-22,PREMIUM,False
287,Sara Jones,duranrobert@example.net,2025-02-03,VIP,False
288,Chris Robinson,nbrooks@example.net,2026-01-07,VIP,False
289,Susan Hopkins,smithandrea@example.org,2024-08-20,PREMIUM,False
290,Denise Madden,shawheidi@example.com,2026-04-26,PREMIUM,False
291,Cassie Hull,johnharvey@example.com,2026-05-03,PREMIUM,False
292,Robert Miller,pstevens@example.net,2025-01-30,VIP,False
293,Ronald Miller,davisnicholas@example.net,2025-08-12,VIP,False
294,Adam Jackson,pbruce@example.com,2025-10-21,PREMIUM,False
295,Valerie Jacobson,hallrachel@example.net,2026-06-28,VIP,False
296,Denise Glass,rachel90@example.org,2026-07-30,PREMIUM,False
297,Alexis Clark,karenmarquez@example.com,2026-07-30,VIP,False
298,Christopher Allen,irhodes@example.com,2025-06-02,VIP,False
299,Brenda Hinton,masonterri@example.org,2024-10-22,PREMIUM,False
300,Ryan Peterson,unovak@example.org,2025-12-13,PREMIUM,False
301,Willie Henry,angela66@example.org,2026-01-17,REGULAR,False
302,Jamie Barton,lauren11@example.com,2024-12-05,PREMIUM,False
303,Richard Moore,gstewart@example.org,2024-08-12,PREMIUM,False
304,Jill Juarez,andersonjacob@example.com,2025-10-14,PREMIUM,False
305,Jennifer Johnson,angela99@example.com,2026-06-09,REGULAR,False
306,Edgar Hughes,hardyanita@example.org,2025-10-26,VIP,False
307,Melissa Jackson,kevin72@example.org,2024-12-15,PREMIUM,False
308,Jason Washington,wardsheryl@example.net,2025-12-06,REGULAR,False
309,Luis Ellis Jr.,rushmartin@example.net,2025-05-30,VIP,False
310,Erin Cook,kevinmorrison@example.net,2025-01-11,REGULAR,False
311,Christopher Sanders,kelly79@example.org,2025-04-18,REGULAR,False
312,Robert Long,frederickjames@example.net,2024-12-25,VIP,False
313,Krista Benton,nhahn@example.com,2026-04-19,REGULAR,False
314,Michael Fuentes,ichambers@example.net,2025-03-31,REGULAR,False
315,Matthew Espinoza,mjones@example.com,2025-11-03,REGULAR,False
316,Jonathon Knapp,ystephens@example.com,2026-02-03,PREMIUM,False
317,Kimberly Little,rodriguezjohn@example.net,2025-05-10,REGULAR,False
318,Lonnie Hart,vrasmussen@example.com,2024-10-29,VIP,False
319,David Dixon,seanmyers@example.net,2025-11-08,REGULAR,False
320,Brittany Cuevas,agarcia@example.org,2024-11-06,REGULAR,False
321,Monica Bailey,stanley38@example.com,2025-05-05,PREMIUM,False
322,Jeffrey Horton,carlos01@example.org,2026-05-29,PREMIUM,False
323,Brian Marsh,zacharyarnold@example.com,2025-10-16,VIP,False
324,Joel Salinas,jacobsandoval@example.com,2024-08-30,VIP,False
325,Sonya Cole,tprice@example.org,2025-01-14,VIP,False
326,Michael Flynn,lloydamanda@example.com,2025-04-18,VIP,False
327,Brian Lambert,orose@example.com,2025-11-14,VIP,False
328,James Wilson,megan92@example.net,2026-02-07,REGULAR,False
329,Tamara Lawrence,lawrenceallen@example.org,2024-12-28,VIP,False
330,Charles Price,baileyhenderson@example.com,2025-12-14,PREMIUM,False
331,Tamara Arias,angelaburns@example.org,2024-12-31,VIP,False
332,Jerry Brown,stephanie72@example.org,2026-05-03,VIP,False
333,Justin Delgado,acohen@example.net,2026-05-22,REGULAR,False
334,Christopher Cunningham,kellyhill@example.net,2025-03-20,PREMIUM,False
335,Jim Newton,hdunn@example.net,2024-11-04,PREMIUM,False
336,Joshua Ritter,wolfscott@example.org,2025-07-04,PREMIUM,False
337,Ronald Potter,nancy07@example.com,2025-05-05,PREMIUM,False
338,Angie Grimes,rowejoel@example.net,2025-11-07,VIP,False
339,Shannon Bishop,imartin@example.org,2026-05-01,PREMIUM,False
340,Anthony Bell,candice25@example.net,2025-03-23,VIP,False
341,Derek Hodge,taylorkaren@example.com,2026-07-22,PREMIUM,False
342,Donald Rios,johndawson@example.org,2026-03-22,VIP,False
343,Jenna Thomas,courtney67@example.org,2025-12-13,PREMIUM,False
344,Patricia Powell,heather57@example.com,2025-04-19,REGULAR,False
345,Sheila Boone,simonstephen@example.net,2026-01-31,PREMIUM,False
346,Arthur Ferguson,tammysummers@example.com,2025-03-04,PREMIUM,False
347,Drew Kelley,ashleewashington@example.com,2026-07-03,VIP,False
348,Amber Garcia,ksmith@example.com,2025-07-28,REGULAR,False
349,Tyler Harris,nicoleturner@example.com,2024-10-19,PREMIUM,False
350,Danielle Watson,brettgarrett@example.net,2026-02-02,REGULAR,False
351,Jessica Davis,smiththomas@example.org,2025-11-12,PREMIUM,False
352,Michael Smith,lisa62@example.com,2024-10-02,VIP,False
353,Brandon Shaffer,edwardsnicole@example.org,2025-06-01,PREMIUM,False
354,Nicole Anderson,caseyelliott@example.net,2025-12-25,VIP,False
355,Gregory Lewis,samanthajensen@example.com,2026-06-06,REGULAR,False
356,Steven Taylor,lawrencepatrick@example.com,2025-04-09,PREMIUM,False
357,Danielle Newman,angelagreene@example.net,2025-03-17,REGULAR,False
358,Melissa Abbott,jamie98@example.org,2026-03-11,VIP,False
359,Matthew Bowers,troyrodriguez@example.com,2025-12-16,PREMIUM,False
360,Kelsey Levine,sarah26@example.net,2025-06-30,REGULAR,False
361,Michael Farmer,smithcarlos@example.com,2025-01-22,PREMIUM,False
362,Antonio Mccormick,courtney86@example.com,2026-02-04,PREMIUM,False
363,Martin Medina,joshuacollins@example.net,2026-07-24,PREMIUM,False
364,Robert Herrera,wwillis@example.net,2026-01-18,VIP,False
365,Emily Kim,brianmiller@example.com,2024-11-06,VIP,False
366,Lee Parker,davidzimmerman@example.net,2024-08-16,PREMIUM,False
367,Troy Mills,gary24@example.net,2026-06-27,PREMIUM,False
368,Steven Rogers,enelson@example.com,2026-02-12,REGULAR,False
369,Lori Crawford,brian92@example.com,2024-12-08,REGULAR,False
370,Brian Berry,perezwilliam@example.org,2026-06-05,VIP,False
371,Dana Ruiz,lmora@example.org,2025-10-11,VIP,False
372,Michelle Rios,marcbutler@example.net,2025-04-13,REGULAR,False
373,Blake Watson,whitelinda@example.org,2025-06-15,PREMIUM,False
374,John Campbell,mark87@example.org,2025-05-21,VIP,False
375,Justin Torres,stevenvargas@example.com,2026-03-31,REGULAR,False
376,Morgan Payne,edwardrandolph@example.org,2025-02-04,PREMIUM,False
377,Makayla Steele,tapiaaaron@example.net,2025-05-27,REGULAR,False
378,Monica Garcia,robertwoodward@example.org,2026-02-11,VIP,False
379,Andrew Hall,xhaynes@example.com,2026-03-11,PREMIUM,False
380,Brendan Anderson,kjones@example.org,2025-07-11,REGULAR,False
381,Bianca Carter,sara65@example.com,2025-07-25,VIP,False
382,Benjamin Harris,moorefrank@example.com,2025-04-08,VIP,False
383,Joshua Oconnell,shannonford@example.org,2024-10-17,PREMIUM,False
384,Michael Mckenzie,lewismelissa@example.org,2024-10-17,REGULAR,False
385,Tracy Foster,byrdjorge@example.org,2024-09-01,PREMIUM,False
386,Sarah Hawkins,codygarcia@example.org,2024-11-10,PREMIUM,False
387,Ronald Haas,jamesmorales@example.net,2025-12-10,REGULAR,False
388,Angela Willis,johnsoncaleb@example.net,2025-07-18,PREMIUM,False
389,Anna Boone,david70@example.org,2026-07-26,REGULAR,False
390,Samantha Foster,reyesronald@example.com,2025-01-21,REGULAR,False
391,Denise Griffin,austinharvey@example.org,2025-12-23,VIP,False
392,Jason Pierce,millerpatrick@example.com,2025-01-09,REGULAR,False
393,Rebecca Wright,mayokimberly@example.com,2025-08-15,PREMIUM,False
394,Kari Durham,paul20@example.com,2025-11-14,REGULAR,False
395,Steven Osborne,stokesthomas@example.com,2026-03-26,PREMIUM,False
396,Crystal Moore,dianeadams@example.net,2024-09-20,VIP,False
397,Theresa Johnston,lkelly@example.org,2025-02-07,VIP,False
398,Renee Wolfe,warnermichael@example.net,2025-10-19,PREMIUM,False
399,Travis Copeland,lweaver@example.com,2024-09-06,VIP,False
400,David Robinson,nsmith@example.org,2026-04-26,PREMIUM,False
