customer_sk,customer_id_nk,customer_key,first_name,last_name,marital_status,gender,create_date,birthdate,country,full_name,age
194,28187.0,AW00028187,Aaron,Chen,Married,Male,2026-01-25,1970-11-09,United States,Aaron Chen,43.0
195,28188.0,AW00028188,Kayla,Price,Single,Female,2026-01-25,1964-10-13,United States,Kayla Price,49.0
196,28189.0,AW00028189,James,Griffin,Single,Male,2026-01-25,1970-10-22,Canada,James Griffin,43.0
197,28190.0,AW00028190,Kimberly,Cook,Single,Female,2026-01-25,1970-05-17,United States,Kimberly Cook,44.0
198,28191.0,AW00028191,Mya,Long,Single,Female,2026-01-25,1964-12-16,United States,Mya Long,49.0
199,28192.0,AW00028192,Abigail,Sanchez,Married,Female,2026-01-25,1970-09-18,United States,Abigail Sanchez,43.0
200,28193.0,AW00028193,Taylor,Davis,Single,Female,2026-01-25,1964-10-16,United States,Taylor Davis,49.0
201,28194.0,AW00028194,Lydia,Garcia,Single,Female,2026-01-25,1964-08-14,United States,Lydia Garcia,49.0
202,28195.0,AW00028195,Kellie,Martin,Single,Female,2026-01-25,1964-12-30,Canada,Kellie Martin,49.0
203,28196.0,AW00028196,Timothy,Cox,Married,Male,2026-01-25,1963-11-15,United States,Timothy Cox,50.0
204,28197.0,AW00028197,Kayla,Rodriguez,Single,Female,2026-01-25,1969-10-02,Canada,Kayla Rodriguez,44.0
205,28198.0,AW00028198,Jared,Moyer,Married,Male,2026-01-25,1963-08-10,Canada,Jared Moyer,50.0
206,28199.0,AW00028199,Alyssa,Jones,Single,Female,2026-01-25,1963-11-07,United States,Alyssa Jones,50.0
207,28319.0,AW00028319,Ashlee,She,Single,Female,2026-01-25,1976-11-08,Australia,Ashlee She,37.0
208,28175.0,AW00028175,Clifford,Subram,Married,Male,2026-01-25,1965-12-29,United States,Clifford Subram,48.0
209,28173.0,AW00028173,Timothy,Young,Single,Male,2026-01-25,1965-07-31,Canada,Timothy Young,48.0
210,28146.0,AW00028146,Gavin,Washington,Single,Male,2026-01-25,1972-06-10,United States,Gavin Washington,42.0
211,28172.0,AW00028172,Charles,Moore,Married,Male,2026-01-25,1972-11-23,United States,Charles Moore,41.0
212,28147.0,AW00028147,Omar,Black,Single,Male,2026-01-25,1970-01-15,United States,Omar Black,44.0
213,28148.0,AW00028148,Jon,Zhao,Single,Male,2026-01-25,1975-02-15,United States,Jon Zhao,39.0
214,28149.0,AW00028149,William,Miller,Married,Male,2026-01-25,1975-08-08,United States,William Miller,38.0
215,28150.0,AW00028150,Connor,Chen,Single,Male,2026-01-25,1970-05-06,United States,Connor Chen,44.0
216,28151.0,AW00028151,Katherine,Walker,Single,Female,2026-01-25,1974-04-08,United States,Katherine Walker,40.0
217,28152.0,AW00028152,Ian,Rivera,Married,Male,2026-01-25,1974-02-25,United States,Ian Rivera,40.0
218,28153.0,AW00028153,Mackenzie,Torres,Single,Female,2026-01-25,1968-09-20,Canada,Mackenzie Torres,45.0
219,28154.0,AW00028154,Katherine,Patterson,Single,Female,2026-01-25,1973-10-09,United States,Katherine Patterson,40.0
220,28155.0,AW00028155,Taylor,Watson,Single,Female,2026-01-25,1974-02-21,United States,Taylor Watson,40.0
221,28156.0,AW00028156,Gabrielle,Hall,Single,Female,2026-01-25,1973-12-09,United States,Gabrielle Hall,40.0
222,28157.0,AW00028157,Elijah,Edwards,Married,Male,2026-01-25,1974-04-22,Canada,Elijah Edwards,40.0
223,28158.0,AW00028158,Clarence,Luo,Single,Male,2026-01-25,1967-09-03,United States,Clarence Luo,46.0
224,28159.0,AW00028159,Tamara,Yang,Married,Female,2026-01-25,1967-08-27,United States,Tamara Yang,46.0
225,28160.0,AW00028160,Melanie,Reed,Single,Female,2026-01-25,1968-03-09,Canada,Melanie Reed,46.0
226,28161.0,AW00028161,Jessica,Perry,Single,Female,2026-01-25,1984-03-06,Canada,Jessica Perry,30.0
227,28162.0,AW00028162,Bruce,Ward,Married,Male,2026-01-25,1967-12-09,United States,Bruce Ward,46.0
228,28163.0,AW00028163,Rachel,Washington,Married,Female,2026-01-25,1973-03-07,United States,Rachel Washington,41.0
229,28164.0,AW00028164,Gabrielle,Coleman,Married,Female,2026-01-25,1968-04-19,United States,Gabrielle Coleman,46.0
230,28165.0,AW00028165,Alexa,Rivera,Married,Female,2026-01-25,1967-03-09,Canada,Alexa Rivera,47.0
231,28166.0,AW00028166,Cassidy,Coleman,Married,Female,2026-01-25,1967-01-01,United States,Cassidy Coleman,47.0
232,28167.0,AW00028167,Samuel,Hughes,Single,Male,2026-01-25,1966-08-19,United States,Samuel Hughes,47.0
233,28168.0,AW00028168,Jacqueline,Ward,Married,Female,2026-01-25,1967-04-09,United States,Jacqueline Ward,47.0
234,28169.0,AW00028169,Lucas,Blue,Married,Male,2026-01-25,1972-03-14,Canada,Lucas Blue,42.0
235,28170.0,AW00028170,Isabella,Johnson,Married,Female,2026-01-25,1972-01-18,United States,Isabella Johnson,42.0
236,28171.0,AW00028171,Aidan,Henderson,Married,Male,2026-01-25,1972-10-12,United States,Aidan Henderson,41.0
237,28318.0,AW00028318,Grace,Lee,Married,Female,2026-01-25,1978-01-02,Australia,Grace Lee,36.0
238,28322.0,AW00028322,Willie,Chen,Single,Male,2026-01-25,1980-07-18,Australia,Willie Chen,33.0
239,28320.0,AW00028320,Janet,Navarro,Single,Female,2026-01-25,1966-05-19,Australia,Janet Navarro,48.0
